key_id,m,competitive_lsns,competitive_ops,clean_seqs,final_seqs,n_pairs,fired_pairs,last_pair_uniform,last_pair_fired,tail_op,current_lsn,winner_vidx,winner_seq,winner_lsn,winner_op,present,violated,verdict
1198,15,1314;1504;2382;2717;2841;3460;4011;4032;4939;4970;5911;5927;6046;6288;6652,uuuuuuuuuuuuuuu,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,1;2;3;4;5;6;8;9;10;7;11;13;14;15;12,14,7;8;9;12;13;14,0.111051,True,u,6652,13,15,6288,u,1,True,STALE_WINS
506,3,1315;3394;4442,uud,1;2;3,1;2;3,2,-,0.943997,False,d,4442,2,3,4442,d,0,False,MATCH
743,14,1316;1383;1778;2105;2539;2586;3128;3345;4345;4373;5390;5495;6754;7202,uuuuuuuuuuuuud,1;2;3;4;5;6;7;8;9;10;11;12;13;14,1;3;2;4;5;6;7;9;10;8;11;12;14;13,13,2;8;9;13,0.083800,True,d,7202,12,14,6754,u,1,True,GHOST
235,15,1317;1486;1614;2356;2620;2826;2887;3009;3234;3755;4151;5019;5631;5633;7398,uuuuuuuuuuuuuuu,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,2;1;3;5;4;6;7;8;10;11;9;13;12;15;14,14,1;4;9;10;12;14,0.054921,True,u,7398,13,15,5633,u,1,True,STALE_WINS
5,12,1318;2234;2416;2872;3354;3889;4041;5138;5172;5201;6390;6914,uuuuuuuuuudc,1;2;3;4;5;6;7;8;9;10;11;12,1;2;3;4;5;7;6;8;9;10;11;12,11,6,0.525042,False,c,6914,11,12,6914,c,1,False,MATCH
40,3,1319;1645;3930,uuu,1;2;3,1;2;3,2,-,0.448719,False,u,3930,2,3,3930,u,1,False,MATCH
298,6,1322;3427;3813;4663;5716;6850,uuuuuu,1;2;3;4;5;6,1;2;3;4;6;5,5,5,0.022243,True,u,6850,4,6,5716,u,1,True,STALE_WINS
243,10,1323;2421;3675;3842;4225;4936;5452;5644;5765;6085,uuuuuuuuuu,1;2;3;4;5;6;7;8;9;10,2;1;4;3;5;7;6;8;9;10,9,1;3;6,0.786145,False,u,6085,9,10,6085,u,1,False,MATCH
410,5,1324;1761;4984;7142;7194,uuuuu,1;2;3;4;5,1;2;3;4;5,4,-,0.426573,False,u,7194,4,5,7194,u,1,False,MATCH
780,5,1326;1520;5538;7002;7217,uuuuu,1;2;3;4;5,1;2;3;4;5,4,-,0.811538,False,u,7217,4,5,7217,u,1,False,MATCH
741,4,1327;3482;4832;5421,uuuu,1;2;3;4,1;3;2;4,3,2,0.375172,False,u,5421,3,4,5421,u,1,False,MATCH
525,10,1328;2506;2516;3526;3545;4330;4824;5723;5846;6499,uuuuuuuuuu,1;2;3;4;5;6;7;8;9;10,1;3;2;4;5;6;7;9;8;10,9,2;8,0.654938,False,u,6499,9,10,6499,u,1,False,MATCH
